filename,voice,seconds,rms,text
gh_00_names.wav,gh_00,3.57,0.0372,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_00_news.wav,gh_00,3.74,0.0481,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_00_english.wav,gh_00,2.99,0.0501,"The convention discussed inflationary policy yesterday afternoon."
gh_00_mixed.wav,gh_00,2.59,0.0372,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_00_question.wav,gh_00,2.64,0.0521,"Have you told Ama that the meeting at Ridge is postponed?"
gh_01_names.wav,gh_01,3.46,0.0577,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_01_news.wav,gh_01,3.71,0.0662,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_01_english.wav,gh_01,3.10,0.0726,"The convention discussed inflationary policy yesterday afternoon."
gh_01_mixed.wav,gh_01,3.25,0.0523,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_01_question.wav,gh_01,2.91,0.0472,"Have you told Ama that the meeting at Ridge is postponed?"
gh_02_names.wav,gh_02,3.25,0.0455,"Kwabena went to Achimota and met the Okuapenhene at Nyankpani."
gh_02_news.wav,gh_02,3.74,0.0607,"The Bank of Ghana raised the policy rate, citing pressure on the cedi."
gh_02_english.wav,gh_02,2.82,0.0611,"The convention discussed inflationary policy yesterday afternoon."
gh_02_mixed.wav,gh_02,2.35,0.0544,"Yaw Mensah drove from Adenta through Madina to Kotoka."
gh_02_question.wav,gh_02,2.27,0.0392,"Have you told Ama that the meeting at Ridge is postponed?"
